112,111,109,109,108,108,107,107,106,106,0
111,109,109,108,108,107,107,106,106,106,0
109,109,108,108,107,107,106,106,106,103,0
109,108,108,107,107,106,106,106,103,101,0
108,108,107,107,106,106,106,103,101,99,0
108,107,107,106,106,106,103,101,99,98,0
107,107,106,106,106,103,101,99,98,96,0
107,106,106,106,103,101,99,98,96,96,0
106,106,106,103,101,99,98,96,96,96,0
106,106,103,101,99,98,96,96,96,95,0
106,103,101,99,98,96,96,96,95,95,0
103,101,99,98,96,96,96,95,95,95,0
101,99,98,96,96,96,95,95,95,93,0
99,98,96,96,96,95,95,95,93,89,0
98,96,96,96,95,95,95,93,89,88,0
96,96,96,95,95,95,93,89,88,87,0
96,96,95,95,95,93,89,88,87,87,0
96,95,95,95,93,89,88,87,87,86,0
95,95,95,93,89,88,87,87,86,86,0
95,95,93,89,88,87,87,86,86,86,0
95,93,89,88,87,87,86,86,86,85,0
93,89,88,87,87,86,86,86,85,85,0
89,88,87,87,86,86,86,85,85,85,0
88,87,87,86,86,86,85,85,85,84,0
87,87,86,86,86,85,85,85,84,83,0
87,86,86,86,85,85,85,84,83,83,0
86,86,86,85,85,85,84,83,83,83,0
86,86,85,85,85,84,83,83,83,82,0
86,85,85,85,84,83,83,83,82,81,0
85,85,85,84,83,83,83,82,81,81,0
85,85,84,83,83,83,82,81,81,81,0
85,84,83,83,83,82,81,81,81,81,0
84,83,83,83,82,81,81,81,81,81,0
83,83,83,82,81,81,81,81,81,81,0
83,83,82,81,81,81,81,81,81,81,0
83,82,81,81,81,81,81,81,81,81,0
82,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,81,0
81,81,81,81,81,81,81,81,81,78,0
81,81,81,81,81,81,81,81,78,76,0
81,81,81,81,81,81,81,78,76,75,0
81,81,81,81,81,81,78,76,75,74,0
81,81,81,81,81,78,76,75,74,74,0
81,81,81,81,78,76,75,74,74,74,0
81,81,81,78,76,75,74,74,74,74,0
81,81,78,76,75,74,74,74,74,73,0
81,78,76,75,74,74,74,74,73,73,0
78,76,75,74,74,74,74,73,73,72,0
76,75,74,74,74,74,73,73,72,72,0
75,74,74,74,74,73,73,72,72,70,0
74,74,74,74,73,73,72,72,70,70,0
74,74,74,73,73,72,72,70,70,70,0
74,74,73,73,72,72,70,70,70,70,0
74,73,73,72,72,70,70,70,70,69,0
73,73,72,72,70,70,70,70,69,68,0
73,72,72,70,70,70,70,69,68,68,0
72,72,70,70,70,70,69,68,68,68,0
72,70,70,70,70,69,68,68,68,69,0
70,70,70,70,69,68,68,68,69,68,0
70,70,70,69,68,68,68,69,68,67,0
70,70,69,68,68,68,69,68,67,68,0
70,69,68,68,68,69,68,67,68,72,0
69,68,68,68,69,68,67,68,72,73,0
68,68,68,69,68,67,68,72,73,74,0
68,68,69,68,67,68,72,73,74,75,0
68,69,68,67,68,72,73,74,75,77,0
69,68,67,68,72,73,74,75,77,77,0
68,67,68,72,73,74,75,77,77,77,0
67,68,72,73,74,75,77,77,77,77,0
68,72,73,74,75,77,77,77,77,77,0
72,73,74,75,77,77,77,77,77,77,0
73,74,75,77,77,77,77,77,77,77,0
74,75,77,77,77,77,77,77,77,77,0
75,77,77,77,77,77,77,77,77,77,0
77,77,77,77,77,77,77,77,77,77,0
77,77,77,77,77,77,77,77,77,77,0
77,77,77,77,77,77,77,77,77,77,0
77,77,77,77,77,77,77,77,77,76,0
77,77,77,77,77,77,77,77,76,76,0
77,77,77,77,77,77,77,76,76,76,0
77,77,77,77,77,77,76,76,76,76,0
77,77,77,77,77,76,76,76,76,76,0
77,77,77,77,76,76,76,76,76,76,0
77,77,77,76,76,76,76,76,76,76,0
77,77,76,76,76,76,76,76,76,75,0
77,76,76,76,76,76,76,76,75,75,0
76,76,76,76,76,76,76,75,75,76,0
76,76,76,76,76,76,75,75,76,76,0
76,76,76,76,76,75,75,76,76,76,0
76,76,76,76,75,75,76,76,76,73,0
76,76,76,75,75,76,76,76,73,73,0
76,76,75,75,76,76,76,73,73,71,0
76,75,75,76,76,76,73,73,71,71,0
75,75,76,76,76,73,73,71,71,71,0
75,76,76,76,73,73,71,71,71,71,0
76,76,76,73,73,71,71,71,71,68,0
76,76,73,73,71,71,71,71,68,64,0
76,73,73,71,71,71,71,68,64,61,0
73,73,71,71,71,71,68,64,61,61,0
73,71,71,71,71,68,64,61,61,61,0
